Company,Sector,Price
Company,Sector,Price
African Alliance Insurance,Financials,0.20
McNichols,Consumer Goods,6.62
Multi-Trex Integrated Foods,Consumer Goods,0.36
Livingtrust Mortgage Bank,Financials,5.35
Veritas Kapital Assurance,Financials,2.29
Abbey Mortgage Bank,Financials,10.30
ABC Transport,Consumer Services,6.24
Academy Press,Industrials,8.40
Africa Prudential,Technology,15.65
Afromedia,Consumer Services,0.24
Aiico Insurance,Financials,4.05
Aluminium Extrusion Industries,Basic Materials,13.95
Aso Savings And Loans,Financials,3.21
Austin Laz & Company,Industrials,3.74
Berger Paints,Basic Materials,66.65
Beta Glass Co,Industrials,498.50
Industrial and Medical Gases Nigeria,Basic Materials,36.00
Cadbury Nigeria,Consumer Goods,70.00
CAP,Basic Materials,92.25
Caverton Offshore Support Group,Oil & Gas,5.85
Champion Breweries,Consumer Goods,16.00
Chams,Technology,4.03
Chellarams,Industrials,13.20
C & I Leasing,Industrials,6.80
Conoil,Oil & Gas,204.40
Cornerstone Insurance,Financials,5.40
Custodian Investment,Financials,79.00
Cutix,Industrials,3.29
CWG,Technology,21.95
Daar Communications,Consumer Services,2.01
Dangote Cement,Industrials,815.00
Dangote Sugar Refinery,Consumer Goods,72.40
Deap Capital Management & Trust,Financials,6.75
Meyer,Basic Materials,18.65
DN Tyre & Rubber,Consumer Services,0.20
Ekocorp,Health Care,5.80
Ellah Lakes,Consumer Goods,12.80
Nigerian Enamelware,Consumer Goods,37.00
SUNU Assurances Nigeria,Financials,4.75
Eterna,Oil & Gas,51.00
E-Tranzact International,Technology,19.55
First HoldCo Plc (FBNH),Financials,50.00
FCMB Group,Financials,12.95
Fidelity Bank,Financials,19.80
Fidson Healthcare,Health Care,93.90
FTN Cocoa Processors,Consumer Goods,6.00
Golden Guinea Breweries,Consumer Goods,7.10
Guinea Insurance,Financials,1.36
Guinness Nigeria,Consumer Goods,344.40
Consolidated Hallmark Insurance,Financials,5.00
Honeywell Flour Mill,Consumer Goods,20.80
Ikeja Hotel,Consumer Services,36.00
Infinity Trust Mortgage Bank,Financials,19.00
International Breweries,Consumer Goods,15.00
International Energy Insurance,Financials,3.20
Eunisell Interlinked,Industrials,143.95
Japaul Gold and Ventures,Oil & Gas,3.59
Julius Berger Nigeria,Industrials,288.00
John Holt,Industrials,9.45
Juli,Health Care,7.26
Lasaco Assurance,Financials,2.45
Learn Africa,Consumer Services,9.00
Linkage Assurance,Financials,1.73
Livestock Feeds,Consumer Goods,7.00
AXA Mansard Insurance,Financials,16.15
May & Baker Nigeria,Health Care,37.75
Mutual Benefits Assurance,Financials,4.59
Morison Industries,Consumer Goods,12.07
Multiverse Mining and Exploration,Basic Materials,18.45
Nigerian Aviation Handling,Industrials,163.90
Nascon Allied Industries,Consumer Goods,147.60
Nigerian Breweries,Consumer Goods,79.10
NCR (Nigeria),Technology,199.00
Neimeth International Pharmaceuticals,Health Care,10.05
N.E.M. Insurance,Financials,34.15
Nestle Nigeria,Consumer Goods,"3,250.00"
Northern Nigeria Flour Mills,Consumer Goods,79.40
NPF Microfinance Bank,Financials,8.00
Secure Electronic Technology,Consumer Services,1.39
Oando,Oil & Gas,50.50
Okomu Oil Palm,Consumer Goods,"1,765.00"
Omatek Ventures,Technology,2.57
Pharma-Deko,Health Care,1.83
Premier Paints,Basic Materials,17.65
Presco,Consumer Goods,"2,315.40"
Prestige Assurance Co,Financials,1.55
PZ Cussons Nigeria,Consumer Goods,73.50
Red Star Express,Industrials,28.55
Regency Alliance Insurance,Financials,1.19
Royal Exchange,Financials,1.82
R T Briscoe,Consumer Services,11.45
SCOA Nigeria,Industrials,27.90
SFS Real Estate investment Trust,Financials,418.75
Sovereign Trust Insurance,Financials,2.30
Standard Trust Assurance,Financials,0.48
Stanbic IBTC Holdings,Financials,133.50
Fortis Global Insurance,Financials,1.32
Sterling Financial Holdings,Financials,7.75
Tantalizers,Consumer Services,4.52
Thomas Wyatt Nigeria,Basic Materials,2.75
TotalEnergies Marketing Nigeria,Oil & Gas,640.00
Transcorp Hotels,Consumer Services,189.70
Transnational Corporation Of Nigeria,Financials,48.75
Trans-Nationwide Express,Industrials,2.36
Tripple Gee And Co,Industrials,4.26
UAC of Nigeria,Industrials,115.80
UPDC,Financials,5.00
United Bank For Africa,Financials,46.45
Union Homes REIT,Financials,76.15
Unilever Nigeria,Consumer Goods,94.00
Union Dicon Salt,Consumer Goods,14.80
Unity Bank,Financials,1.51
Universal Insurance Company,Financials,1.36
University Press,Consumer Services,5.00
Greif Nigeria,Industrials,5.45
Vitafoam Nigeria,Consumer Goods,115.70
Lafarge Africa,Industrials,200.00
Coronation Insurance,Financials,3.29
Wema Bank,Financials,25.55
Zenith Bank,Financials,93.15
Ecobank,Financials,46.00
Seplat Energy,Oil & Gas,"9,099.90"
United Capital,Financials,18.00
The Initiates,Industrials,19.00
Jaiz Bank,Financials,10.75
Skyway Aviation Handling (SAHCO),Industrials,144.90
MTN Nigeria Communications,Telecom,773.00
Airtel Africa,Telecom,"2,270.00"
BUA Cement,Industrials,225.00
Briclinks Africa,Telecom,6.25
Guaranty Trust Holding,Financials,117.00
Nigerian Exchang Group,Financials,169.50
BUA Foods,Consumer Goods,796.60
Ronchess Global Resources,Industrials,81.00
Access Holdings,Financials,25.00
Geregu Power,Utilities,"1,141.50"
Vetiva S&P Nigeria Sovereign Bond ETF,ETF,451.10
Vetiva Industrial ETF,ETF,113.55
Vetiva Griffin 30 ETF,ETF,78.00
Vetiva Consumer Goods ETF,ETF,55.00
Vetiva Banking ETF,ETF,26.50
Stanbic IBTC ETF 30,ETF,"3,465.51"
SIAML Pension ETF 40,ETF,"4,866.03"
NewGold ETF,ETF,"103,000.00"
Meristem Value ETF,ETF,341.19
Meristem Growth ETF,ETF,422.85
Lotus Halal Equity ETF,ETF,105.61
Greenwich Alpha ETF,ETF,770.00
Nigeria Infrastructure Debt Fund,Financials,126.00
VFD Group,Financials,11.05
Me Cure Industries,Health Care,61.50
Transcorp Power,Utilities,306.90
Aradel Holdings,Oil & Gas,"1,340.00"
UPDC REIT,Financials,7.45
Legend Internet,Telecom,7.01
MOFI Real Estate Investment Fund,Financials,100.00
Zichis Agro Allied Industries,Consumer Goods,17.36
Nigeria Real Estate Investment Trust,Financials,103.00
Premier Paints,17.65,+9.97%
SUNU Assurances Nigeria,4.75,+9.95%
Conoil,204.40,+9.95%
Daar Communications,2.01,+9.84%
Eterna,51.00,+9.56%
Mutual Benefits Assurance,4.59,-10.00%
Nascon Allied Industries,147.60,-10.00%
Red Star Express,28.55,-9.94%
Austin Laz & Co.,3.74,-9.88%
SCOA Nigeria,27.90,-9.85%
Access Holdings,25.00,"80,262,207"
Mutual Benefits Assurance,4.59,"52,677,542"
Fortis Global Insurance,1.32,"41,386,520"
Zenith Bank,93.15,"35,346,999"
Jaiz Bank,10.75,"31,512,009"
,BRVM-CI,416.46
,BSE DCI,"10,995.42"
,DSE ASI,"3,878.16"
,EGX 30,"47,772.74"
,GSE-CI,"15,185.49"
,JSE ASI,"116,785.77"
,LuSE ASI,"26,983.49"
,MASI,"16,902.46"
,MSE ASI,"577,608.68"
,NGX ASI,"196,066.11"
,NSE ASI,206.80
,NSX OI,"2,141.90"
,RSE ASI,187.55
,SEM ASI,"2,015.74"
,TUNINDEX,"14,877.24"
,USE ASI,"1,978.99"
,ZSE ASI,359.49
